Nombre,Handle de Codeforces,Rating de Codeforces,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024
Kangyang Zhou,orzdevinwang,3529,,,,,,100.00
Adam Gąsienica-Samek,adam_gs,2876,,,,,85.71,99.72
Brian Xue,hyforces,2503,,,,,,99.43
Daniel Weber,CommandMaster,2276,,,,92.55,93.43,99.15
Agastya Goel,gustergoose27,2448,,,,,98.29,99.15
Rain Jiang,rainboy,2232,,,98.86,89.97,98.86,98.87
Mihai-Valeriu Voicu,valeriu,2431,,,,,,98.58
Bálint Rózsa,BalintR,2748,,,,,90.29,98.30
Yuchong Guo,Kubic,3004,,,,,,98.02
Eliška Macáková,prvocislo,2401,,,54.42,91.40,90.00,97.73
Daria Grekova,arbuzick,2609,,,,,,97.45
Ivan Piskarev,qwerty1232,2529,,,,,97.43,97.17
Ryan Bai,skittles1412,2652,,,,85.67,97.14,96.88
Shogo Amacho,PCTprobability,2912,,,,,97.71,96.60
István Ádám Molnár,Error-42,2373,,,,75.64,69.71,96.32
Katsuki Ota,shiomusubi496,2909,,,,,,96.03
Alejandro Vivero Puga,esomer,2204,,,,,75.14,95.75
Amirali Asgari,AmirAli-Asgari,2670,,,,,,95.47
Elazar Koren,elazarkoren,2417,,,,73.93,92.29,95.47
Samuel Trajtenberg,sammyuri,2613,,,,,59.71,95.47
Duru Ozer,Weobe,2029,,,,,,95.18
Rafał Mańczyk,rafi22,2632,,,,,74.29,94.90
Gimran Abdullin,bashkort,2911,,,,,91.71,94.62
Kshitij Sodani,kshitij_sodani,2736,,59.48,85.47,88.54,96.57,94.33
Chun Wong,WongChun1234,2372,,,,66.76,85.71,94.05
Minh Pham Cong,socpite,2438,,,,,,93.77
Bach Hoang Xuan,bachbeo2007,2508,,,,,,93.48
Debojoti Das Soumya,Soumya1,2378,,,,65.33,86.86,93.20
Miles Conway,N/A,N/A,,,,,78.86,92.92
Alon Tanay,Alon-Tanay,2582,,,,81.95,94.86,92.63
Petr Losev,green_gold_dog,2777,,,,,,92.63
Ansis Gustavs Andersons,N/A,N/A,,,37.32,70.49,89.14,92.35
Eunseong Kim,kes0716,2469,,,,,,92.07
David S. Eikeland,N/A,N/A,,,,41.55,67.71,91.78
Yuya Hirasawa,hirayuu_cf,2200,,,,,,91.50
Kajetan Ramsza,Arapak,2041,,,,,,91.22
Mingyu Woo,Mingyu331,2464,,,,,,90.93
Jan Gwiazda,jamjanek,1568,,,,,,90.65
Andy Wu,awu,2412,,,,,,90.37
Daniel Koynov,Sedmoklasnikut,2304,,,,,,90.08
Po-Kai Chen,becaido,2430,,,,,89.43,90.08
Damjan Davkov,damjandavkov,2406,,,,,58.57,89.52
Jonni Haapiainen,N/A,N/A,,,,,52.00,89.24
Rohin Garg,purplecrayon,2717,,,,,96.86,88.95
Heewoo Jung,heeew,2301,,,,,,88.67
Hanks Chong,Hanksburger,2220,,,,71.35,71.71,88.39
Yaw Chur Zhe,pavement,2557,,,,,76.00,88.10
Isaac Kai Sheng Hew,N/A,N/A,,,,74.79,18.57,87.82
Boris Mihov,libobil,2391,,,,,74.29,87.54
Ryotaro Hayashi,Forested,2862,,,,,,87.25
Oscar Fischler,oscar1f,2309,,,68.66,,87.14,86.97
Min-chan Jung,mickeyjung,2570,,,,,,86.69
Tuan Nguyen Huu,ahihi1234,2495,,,,,,86.40
Veikko Heikkinen,N/A,N/A,,,,,77.14,86.12
Rareș-Andrei Neculau,Andrei_ierdnA,2422,,,,,,85.84
Antonín Maloň,Tonyl,1928,,,,,41.14,85.55
Amirhossein Farkhondeh Far,amirhoseinfar1385,2415,,,,,,85.27
Denys Tereshchenko,TheQuantiX,1982,,,,,,85.27
Javier Badesa Pérez,Dalek_of_Rivia,2335,,,,,,85.27
Sushil Raaja Umasudhan,smolbrain,2268,,,,,61.71,84.70
Matthew Allan,MetalPower,2183,,,,,76.29,84.42
Andrei-Paul Iorgulescu,anpaio,2380,,,,,,84.14
Maxim Tsoy,shenfe1,2281,,,,,,84.14
Aufan Ahmad Mumtaza,aufannn,2259,,,,,,83.57
Luotian Huang,MagicalFlower,2948,,,,,,83.29
Cengiz Eray Aslan,erray,2482,,,28.49,,66.57,83.00
Andrii Smutchak,xgaz_,2234,,,,,79.71,82.72
Berke Inan Tol,tolbi,2550,,,,,61.14,82.44
Vesselin Markovich,vesselinmarkovich,2435,,,,,53.14,82.15
Amirreza Dorosti,Dorost,2487,,,,,,81.87
Brian Xiao Boyang,briX1210,2484,,,,,,81.87
Anatole Bouton,anatole4242,1780,,,,,,81.59
Samik Goyal,unforgettablepl,2096,,,,,,81.30
Jakob Žorž,N/A,N/A,,,,23.21,64.29,81.02
Alex Wang,caterpillow,2106,,,,,,80.74
Guanhan Li,N/A,N/A,,,,,51.71,80.45
Pál Czanik,Valaki2,2274,,,,68.19,38.86,80.17
Kwong Weng Loh,Nelson_loh,2351,,,58.97,,44.57,79.89
Mansur Taimas,MnTm,2237,,,,,,79.60
Illia Permiakov,160cm,2241,,,,,,79.32
Timur Degteari,timdee,2376,,,,,60.00,79.04
Gagik Gevorgyan,GaGeV,1912,,,,24.93,50.29,78.75
Sean Wanitchollakit,NortGlG,2096,,,,,,78.47
Kelven Nathanael,Nevll,2299,,,,,,78.19
Ian Bobrus,yanb0,2111,,,,,,77.90
Martin Bierbaumer,N/A,N/A,,,,57.31,68.86,77.62
Jerome Austin Te,jer033,2143,,,,,58.00,77.34
Jovian Soejono,RecursiveCo,2305,,,,,,77.05
Papangkorn Apinyanon,sleepntsheep,2119,,,,,,76.77
Alihan Aidarbekov,alihan_8,1814,,,,,54.57,76.49
Nemanja Majski,nemanjaso2005,2303,,,,,68.00,76.20
Nazar Serazitdinov,otalp,1869,,,,,50.29,75.92
Yung Ho Kwan,culver0412,2434,,,,,,75.92
Lok Yin Siu,bedrockfake,2262,,,,,,75.35
Andrey Stefanov,andreystefanov,2340,,,,,,75.07
Matthias Pleschinger,N/A,N/A,,,64.39,55.87,68.29,74.79
Raphaël Pons,raphaelp,1964,,,,,,74.50
Yi-Yu Chao,zacharychao,2377,,,,,,74.22
Eduardo Carranza Vélez,edu175,2440,,,,,16.86,73.94
Panagiotis Paskalis,panospask,2131,,,,,60.86,73.94
Ihnat Zharikhin,Ignut,2188,,,,,,73.37
Maksym Shvedchenko,waipoli,2296,,,,,,73.37
James Ray Bamber,jamesbamber,2130,,,,,,72.80
Faruk Ibrahimović,dino_merlin,2034,,,,38.40,30.86,72.52
Filipe Lalic,Lalic,2109,,,,,,72.24
Yun-Shuo Tsao,LittleOrange666,2189,,,,,,71.95
Ayman Riad Solh,aymanrs,2384,,14.58,35.61,68.77,40.00,71.67
Minkyum Kim,N/A,N/A,,,,62.75,60.86,71.39
Trung Pham Ngoc,hotboy2703,2223,,,,,,71.39
Alessandro Lombardo,alesl0,1842,,,,,58.00,70.82
Elias Bauer,EliasBauer,1944,,,,57.88,74.86,70.54
Adavya Goyal,Boomyday12343,2119,,,,,,70.25
Onolt Khurtsbilguun,Onolt_kh,2286,,,,,50.86,69.97
Chenyu Lin,2288,1837,,,,,,69.69
Luca Baglietto,bestcrazynoob,1857,,,,,44.00,69.41
Ping-Chung Chang,PCC,2096,,,,,,69.12
Kaarel Toomet,N/A,N/A,,,,,,68.84
Theodor Beskow,TheodorBeskow,1821,,,,,24.86,68.56
Dino Hadžić,DinoHadzic,2232,,,,,,68.27
Irmuun Chinbat,Irmuun.Ch,2402,,,,,,67.99
Nathan Zhou,DoubleSlash,N/A,,,,,,67.71
Francesco Vercellesi,fve5,N/A,,,,,65.43,67.42
Markos Radaios,radaiosm7,1927,,,29.34,39.26,34.57,67.14
Jelle van der Drift,j_vdd16,1895,,,,,,66.86
Parsa Farjpoursarabi,ParsaDox,2558,,,,,,66.57
Kristjan Lepp,kl0989e,2113,,,,,,66.57
Nikola Vujica,nvujica,1967,,,,,,66.29
Mariza Paspalli,mariza_CY,1882,,,,,,66.01
Theofanis Orfanou,Theo830,2277,,,24.79,67.05,84.29,65.72
Dzmitry Harbatouski,topovik,2223,,,,,,65.44
Ahmed Gamal,Ahmed57,2173,,,,,,65.16
Simon Bachran,sim_ba,2028,,,,,,64.87
Kunthee Yongvanich,kunzaZa183,2010,,,,,,64.87
Aykhan Damirli,dmraykhan,2190,,,,,,64.59
Noyan Cantürk,Nummer_64,2200,,,,,,64.59
Miloš Milutinović,wxhtzdy,2222,,,,,86.29,64.02
Kang Yiming,kymmykym,2203,,,,,,63.74
Arthur Lobo Leite Lopes,lobolobo,2321,,,,,68.57,63.46
Moez Mahmoud,Octagons,1976,,,,,,63.17
Marijonas Salvijus Keturakis,N/A,N/A,,,,,,62.89
Jakov Celin,celin,2152,,,,,,62.61
Lovro Tunjić,ltunjic,1981,,,,,,62.32
Abdelmaged Nour,AbdelmagedNour,2169,,,,54.44,72.86,62.04
Rareș-Felix Tudose,RaresFelix,2516,,,,,,62.04
Kiryl Kardash,k1r1t0,2552,,,,,,61.47
Baitoro Mairambekov,baytoro,1941,,,,,48.86,61.19
Bianca Vicente,biank,1637,,,,,22.29,60.91
Nikoloz Melikishvili,Nika533,2196,,,,,,60.62
Thawin Tengamnuay,thawin.ice,2263,,,,,,60.34
Filbert Ephraim Wu,pwned,2112,,,,31.23,55.43,60.06
Hang Chi Ng,N/A,N/A,,,,,,59.77
Yash Thakker,PoPularPlusPlus,2211,,,,,,59.49
Itamar Nir,ItamarNir,2223,,,,,,59.21
Mihailo Jančević,prokulijander,1960,,,,,,59.21
Jarif Rahman,Jarif_Rahman,2114,,,,36.96,56.29,58.92
Muhammad Umair Ahmad Mirza,M.UmairAhmadMirza,1847,,,,,,58.64
Akhmet Issa,Issa,2114,,,,,,58.36
Andrei Sabalenka,mechakotik,2124,,,,,,58.07
Marco Antonio Escandón García,marco_escandon,1935,,,,,27.43,57.79
Anton Avilov,anton6,2164,,,,,,57.51
Amin Charba,aminsh,2171,,,,53.58,53.14,57.22
Hugo Bruwer,N/A,N/A,,,,,,56.94
Jan Slíva,honzinsliva,N/A,,,,,,56.66
Victor Coen,N/A,N/A,,,,,,56.37
Martin Šindelář,IMackerI,2209,,,,,,56.09
Ahmed Alhashim,vahmad,1942,,,,,,55.81
Chang Jun Lim,N/A,N/A,,,,,,55.52
Adeeb AlShehry,MrDeboo,1911,,,,26.65,35.71,55.24
Pedro Suyama Leston Rey,_rey,2307,,,,,70.86,54.96
Sun Beichen,TheRaptor0225,2095,,,,,,54.67
Yaël Arn,42kangaroo,1914,,,,,,54.39
Øystein Berntzen,N/A,N/A,,,,,38.00,54.11
Victor Vatn,goben,2252,,,68.95,40.40,44.00,53.82
Gunadi Gani,kimmoqt,2158,,,,,,53.54
Mardon Hazratov,MardonbekHazratov,1924,,,,,,53.26
Uroš Kostadinović,urosk,2143,,,,,,52.97
Kaleem Raza Syed,Kaleem_Raza_Syed,1834,,,,,,52.69
José Andrés Lemus Velazquez,joseandreslemus,1866,,,,,,52.41
Sebastian Meineche Falk,N/A,N/A,,,,,,52.12
Mikhail Brel,qilby,2267,,,,,62.86,51.84
Patrik Číhal,0npata,2044,,,,,,51.56
Tomas Marcinkevičius,N/A,N/A,,,,,,51.56
Tsovak Yegoryan,tsovak,1994,,,,,64.57,50.99
Mihai Esanu,mesanu,2006,,,,,,50.71
Akib Azmain Turja,AkibAzmain,1805,,,,,,50.42
Raouf Ould Ali,speedcode,1792,,,,,,50.14
Hakob Ayvazyan,c2zi6,1924,,,,,,49.86
David Hromádka,Trustfulcomic,1856,,,,,,49.58
Aleks Grigoryan,alex_2008,1966,,,,,,49.29
Yan Xun Khor,N/A,N/A,,,,,,49.01
Santiago de la Torre Zamudio,efishel,2117,,,,,,48.73
Zsombor Bata,zsombor,2124,,,,,,48.44
Fuad Garayev,fuad720,2103,,,,31.81,50.29,48.16
Benjamin Mujkić,EJOI_Gold,2102,,,48.43,46.42,44.57,47.88
Muhammad Saram,Muhammad-Saram,2090,,,,,,47.88
Tsz Chai Berton Choy,onbert,2110,,,,,,47.31
Ziyan Wang,N/A,N/A,,,,,,47.03
Hadi Suleiman,edogawa_something,2106,,,,,,46.74
Anango Prabhat,anango,2322,,,,,,46.46
Irakli Sulamanidze,Phantom_Performer,2013,,,,,59.14,46.18
Yuan Li,yuan_li,1648,,,,,27.43,45.89
Abdulaziz Lebiev,Relice,1757,,,,,,45.61
Khusanboy Mansuraliev,Husanboy,1984,,,,14.90,,45.33
Logan Guerrero Díaz,LoganGD,2073,,,,,,45.04
Otar Tsibadze,otarius,1865,,,,,,44.76
Malitha Bandara,N/A,N/A,,,,,,44.48
Patrik Prítrský,pritrskypatrik,1612,,,,,,44.19
Abdullah Abdullah,Abito,1951,,,,,,43.91
Marian Soltan,_Vanilla_,1921,,,,15.76,,43.63
Zein Alabdeen Zammar,nerozein,2150,,,,,42.00,43.34
Alin Popescu,alinp,2167,,,,,,43.06
Tamás Görömbey,gortomi,2317,,,,,,42.78
Emmanuel Buenrostro Briseño,SopaconK,1835,,,,,,42.49
Blagoj Rujanoski Stojanovski,Blagoj,1650,,,,,33.71,42.21
Sunnatov Asilbek,Sunnatov,2127,,,,,41.43,41.93
Youkyum Kim,N/A,N/A,,,,,20.29,41.64
Daniel Nieto Pérez,danx,2108,,,,,,41.36
Antreas Knais,trumling,1891,,,,,37.43,41.08
Nik Sauer,N/A,N/A,,,,,,40.79
Raphael Heuchl,N/A,N/A,,,,,,40.51
Sofia Maragò,N/A,N/A,,,,,,40.23
Essa Almousa,essa2006,1603,,,,,48.00,39.94
Musojon Muhammadiev,MmusoM,1785,,,,,,39.94
Noé Zech,nonoze,2097,,,,,6.00,39.94
Daniel Ye,Trentium,2168,,,,,,39.09
Daniel Holm Rasmussen,N/A,N/A,,,,,20.86,38.81
Luka Heric,N/A,N/A,,,,,,38.81
Mahdi Benkhadra,PotatoTheWarrior2,1528,,,,,,38.24
Kipras Deksnys,N/A,N/A,,,,,,37.96
Tahir Aliyev,Tahirliyev,1895,,,,,,37.68
Ursus Wigger,Ursus5805,N/A,,,,,,37.39
Yassine Ben Younes,yassinebenyounes,1939,,,,,39.43,37.39
Daniel Emeka-Ilozor,Dan4Life,1925,,8.45,6.27,11.46,,36.83
Lazaros Karageorgiou,kalarry,2123,,,,,34.00,36.54
Ghulam Junaid,Ghulam_Junaid,1816,,,,,,36.26
Gabee De Vera,ProtonDecay314,1846,,,,,,35.98
Mohammed Wawi,Wawi_,1970,,,,,17.43,35.69
Gustav Bille Gørtz,N/A,N/A,,,,,35.71,35.41
Brest Lenarčič,N/A,N/A,,,,,33.71,35.13
Marwen El Arbi,MarwenElarbi,1666,,,,,,34.84
Adnan Osmić,naneosmic,1780,,,,,,34.56
Camilo Triana Barata,ctb220406,1890,,,,,11.43,34.28
Musharraf Shukrulloev,outfinity,2150,,,,19.20,33.14,33.99
Anastasiia Saranchina,qwusha,1960,,,,,,33.71
Shuheng Wei,UncreativeDev,1190,,,,,,33.43
Deera Wijesundara,N/A,N/A,,,,,,33.14
Huseyn Aghayev,Huseyn123,1821,,,,,,33.14
Rushdi Jallad,Rushdi,1579,,,,,,33.14
Frederik Vase Haraldsson,N/A,N/A,,,,,,32.29
Joaquim Schaeverbeke,Ludissey,1789,,,,,,32.01
Maria Clara Fontes Silva,clarinha,2070,,,,,,31.73
Georgios-Diomedes Varvaresos,N/A,N/A,,,,,,31.44
Ismail Fateen,ismail-but-noob,1734,,,,,,31.16
Faruk Demirović,glupan,1824,,,,,,30.88
Saad Alarifi,Erering,1611,,,,,,30.59
Ulug'bek Rakhmatullaev,heaven2808h,1874,,,,,,30.31
Aidas Agejevas,N/A,N/A,,,,,,30.03
Desh Acharjee,Desh01,2010,,,,,,29.75
Hasani Ghulomzoda,hasan06,1688,,,,,24.00,29.46
Fernando Andreé González Meléndez,N/A,N/A,,,7.69,18.05,21.71,29.18
Maxwell He,Mkswll,2193,,,,,,28.90
Žan Pustoslemšek,N/A,N/A,,,,,,28.90
Viliam Gottweis,viliamgott,1387,,,,,,28.33
Io Fai Lei,N/A,N/A,,,,,45.43,28.05
Adriāns Piliksers,N/A,N/A,,,,,53.43,27.76
Boas Bakker,Boas,1682,,,,,12.57,27.48
Alejandro Pineda Miranda,N/A,N/A,,,,,22.29,27.20
Niilo Mikkola,N/A,N/A,,,,,,26.91
Antreas Leonidou,aleonidou,1646,,,,,24.00,26.63
Praveen Athauda-Arachchi,N/A,N/A,,,,,,26.35
Pok Hong Lam,N/A,N/A,,,,,27.71,26.06
Alban Van Vyve,N/A,N/A,,,,,11.71,25.78
Kareem Kayid,blushinghentaigirl,1668,,,,,,25.50
Jesse Zhang,N/A,N/A,,,,,,25.21
Davit Dzadzamia,DzadzoD,1594,,,,,,24.93
Tomás Faria,TFF,1056,,,13.39,6.30,26.00,24.65
Xu Yian,N/A,N/A,,,,,,24.65
Rosangel Alexandra Bullon Linares,N/A,N/A,,,,,,24.08
Sofie Fu,slushtre,1010,,,,,,23.80
Walsh Letran,Ausp3x,1725,,,,,,23.51
Diana Huacasi Durand,N/A,N/A,,,,,9.43,23.23
