Nombre,Rating de Codeforces,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024
Kangyang Zhou,3529,,,,,,100.00
Adam Gąsienica-Samek,2876,,,,,85.71,99.72
Brian Xue,2503,,,,,,99.43
Daniel Weber,2276,,,,92.55,93.43,99.15
Agastya Goel,2448,,,,,98.29,99.15
Rain Jiang,2232,,,98.86,89.97,98.86,98.87
Mihai-Valeriu Voicu,2431,,,,,,98.58
Bálint Rózsa,2748,,,,,90.29,98.30
Yuchong Guo,3004,,,,,,98.02
Eliška Macáková,2401,,,54.42,91.40,90.00,97.73
Daria Grekova,2609,,,,,,97.45
Ivan Piskarev,2529,,,,,97.43,97.17
Ryan Bai,2652,,,,85.67,97.14,96.88
Shogo Amacho,2912,,,,,97.71,96.60
István Ádám Molnár,2373,,,,75.64,69.71,96.32
Katsuki Ota,2909,,,,,,96.03
Alejandro Vivero Puga,2204,,,,,75.14,95.75
Amirali Asgari,2670,,,,,,95.47
Elazar Koren,2417,,,,73.93,92.29,95.47
Samuel Trajtenberg,2613,,,,,59.71,95.47
Duru Ozer,2029,,,,,,95.18
Rafał Mańczyk,2632,,,,,74.29,94.90
Gimran Abdullin,2911,,,,,91.71,94.62
Kshitij Sodani,2736,,59.48,85.47,88.54,96.57,94.33
Chun Wong,2372,,,,66.76,85.71,94.05
Minh Pham Cong,2438,,,,,,93.77
Bach Hoang Xuan,2508,,,,,,93.48
Debojoti Das Soumya,2378,,,,65.33,86.86,93.20
Miles Conway,N/A,,,,,78.86,92.92
Alon Tanay,2582,,,,81.95,94.86,92.63
Petr Losev,2777,,,,,,92.63
Ansis Gustavs Andersons,N/A,,,37.32,70.49,89.14,92.35
Eunseong Kim,2469,,,,,,92.07
David S. Eikeland,N/A,,,,41.55,67.71,91.78
Yuya Hirasawa,2200,,,,,,91.50
Kajetan Ramsza,2041,,,,,,91.22
Mingyu Woo,2464,,,,,,90.93
Jan Gwiazda,1568,,,,,,90.65
Andy Wu,2412,,,,,,90.37
Daniel Koynov,2304,,,,,,90.08
Po-Kai Chen,2430,,,,,89.43,90.08
Damjan Davkov,2406,,,,,58.57,89.52
Jonni Haapiainen,N/A,,,,,52.00,89.24
Rohin Garg,2717,,,,,96.86,88.95
Heewoo Jung,2301,,,,,,88.67
Hanks Chong,2220,,,,71.35,71.71,88.39
Yaw Chur Zhe,2557,,,,,76.00,88.10
Isaac Kai Sheng Hew,N/A,,,,74.79,18.57,87.82
Boris Mihov,2391,,,,,74.29,87.54
Ryotaro Hayashi,2862,,,,,,87.25
Oscar Fischler,2309,,,68.66,,87.14,86.97
Min-chan Jung,2570,,,,,,86.69
Tuan Nguyen Huu,2495,,,,,,86.40
Veikko Heikkinen,N/A,,,,,77.14,86.12
Rareș-Andrei Neculau,2422,,,,,,85.84
Antonín Maloň,1928,,,,,41.14,85.55
Amirhossein Farkhondeh Far,2415,,,,,,85.27
Denys Tereshchenko,1982,,,,,,85.27
Javier Badesa Pérez,2335,,,,,,85.27
Sushil Raaja Umasudhan,2268,,,,,61.71,84.70
Matthew Allan,2183,,,,,76.29,84.42
Andrei-Paul Iorgulescu,2380,,,,,,84.14
Maxim Tsoy,2281,,,,,,84.14
Aufan Ahmad Mumtaza,2259,,,,,,83.57
Luotian Huang,2948,,,,,,83.29
Cengiz Eray Aslan,2482,,,28.49,,66.57,83.00
Andrii Smutchak,2234,,,,,79.71,82.72
Berke Inan Tol,2550,,,,,61.14,82.44
Vesselin Markovich,2435,,,,,53.14,82.15
Amirreza Dorosti,2487,,,,,,81.87
Brian Xiao Boyang,2484,,,,,,81.87
Anatole Bouton,1780,,,,,,81.59
Samik Goyal,2096,,,,,,81.30
Jakob Žorž,N/A,,,,23.21,64.29,81.02
Alex Wang,2106,,,,,,80.74
Guanhan Li,N/A,,,,,51.71,80.45
Pál Czanik,2274,,,,68.19,38.86,80.17
Kwong Weng Loh,2351,,,58.97,,44.57,79.89
Mansur Taimas,2237,,,,,,79.60
Illia Permiakov,2241,,,,,,79.32
Timur Degteari,2376,,,,,60.00,79.04
Gagik Gevorgyan,1912,,,,24.93,50.29,78.75
Sean Wanitchollakit,2096,,,,,,78.47
Kelven Nathanael,2299,,,,,,78.19
Ian Bobrus,2111,,,,,,77.90
Martin Bierbaumer,N/A,,,,57.31,68.86,77.62
Jerome Austin Te,2143,,,,,58.00,77.34
Jovian Soejono,2305,,,,,,77.05
Papangkorn Apinyanon,2119,,,,,,76.77
Alihan Aidarbekov,1814,,,,,54.57,76.49
Nemanja Majski,2303,,,,,68.00,76.20
Nazar Serazitdinov,1869,,,,,50.29,75.92
Yung Ho Kwan,2434,,,,,,75.92
Lok Yin Siu,2262,,,,,,75.35
Andrey Stefanov,2340,,,,,,75.07
Matthias Pleschinger,N/A,,,64.39,55.87,68.29,74.79
Raphaël Pons,1964,,,,,,74.50
Yi-Yu Chao,2377,,,,,,74.22
Eduardo Carranza Vélez,2440,,,,,16.86,73.94
Panagiotis Paskalis,2131,,,,,60.86,73.94
Ihnat Zharikhin,2188,,,,,,73.37
Maksym Shvedchenko,2296,,,,,,73.37
James Ray Bamber,2130,,,,,,72.80
Faruk Ibrahimović,2034,,,,38.40,30.86,72.52
Filipe Lalic,2109,,,,,,72.24
Yun-Shuo Tsao,2189,,,,,,71.95
Ayman Riad Solh,2384,,14.58,35.61,68.77,40.00,71.67
Minkyum Kim,N/A,,,,62.75,60.86,71.39
Trung Pham Ngoc,2223,,,,,,71.39
Alessandro Lombardo,1842,,,,,58.00,70.82
Elias Bauer,1944,,,,57.88,74.86,70.54
Adavya Goyal,2119,,,,,,70.25
Onolt Khurtsbilguun,2286,,,,,50.86,69.97
Chenyu Lin,1837,,,,,,69.69
Luca Baglietto,1857,,,,,44.00,69.41
Ping-Chung Chang,2096,,,,,,69.12
Kaarel Toomet,N/A,,,,,,68.84
Theodor Beskow,1821,,,,,24.86,68.56
Dino Hadžić,2232,,,,,,68.27
Irmuun Chinbat,2402,,,,,,67.99
Nathan Zhou,N/A,,,,,,67.71
Francesco Vercellesi,N/A,,,,,65.43,67.42
Markos Radaios,1927,,,29.34,39.26,34.57,67.14
Jelle van der Drift,1895,,,,,,66.86
Parsa Farjpoursarabi,2558,,,,,,66.57
Kristjan Lepp,2113,,,,,,66.57
Nikola Vujica,1967,,,,,,66.29
Mariza Paspalli,1882,,,,,,66.01
Theofanis Orfanou,2277,,,24.79,67.05,84.29,65.72
Dzmitry Harbatouski,2223,,,,,,65.44
Ahmed Gamal,2173,,,,,,65.16
Simon Bachran,2028,,,,,,64.87
Kunthee Yongvanich,2010,,,,,,64.87
Aykhan Damirli,2190,,,,,,64.59
Noyan Cantürk,2200,,,,,,64.59
Miloš Milutinović,2222,,,,,86.29,64.02
Kang Yiming,2203,,,,,,63.74
Arthur Lobo Leite Lopes,2321,,,,,68.57,63.46
Moez Mahmoud,1976,,,,,,63.17
Marijonas Salvijus Keturakis,N/A,,,,,,62.89
Jakov Celin,2152,,,,,,62.61
Lovro Tunjić,1981,,,,,,62.32
Abdelmaged Nour,2169,,,,54.44,72.86,62.04
Rareș-Felix Tudose,2516,,,,,,62.04
Kiryl Kardash,2552,,,,,,61.47
Baitoro Mairambekov,1941,,,,,48.86,61.19
Bianca Vicente,1637,,,,,22.29,60.91
Nikoloz Melikishvili,2196,,,,,,60.62
Thawin Tengamnuay,2263,,,,,,60.34
Filbert Ephraim Wu,2112,,,,31.23,55.43,60.06
Hang Chi Ng,N/A,,,,,,59.77
Yash Thakker,2211,,,,,,59.49
Itamar Nir,2223,,,,,,59.21
Mihailo Jančević,1960,,,,,,59.21
Jarif Rahman,2114,,,,36.96,56.29,58.92
Muhammad Umair Ahmad Mirza,1847,,,,,,58.64
Akhmet Issa,2114,,,,,,58.36
Andrei Sabalenka,2124,,,,,,58.07
Marco Antonio Escandón García,1935,,,,,27.43,57.79
Anton Avilov,2164,,,,,,57.51
Amin Charba,2171,,,,53.58,53.14,57.22
Hugo Bruwer,N/A,,,,,,56.94
Jan Slíva,N/A,,,,,,56.66
Victor Coen,N/A,,,,,,56.37
Martin Šindelář,2209,,,,,,56.09
Ahmed Alhashim,1942,,,,,,55.81
Chang Jun Lim,N/A,,,,,,55.52
Adeeb AlShehry,1911,,,,26.65,35.71,55.24
Pedro Suyama Leston Rey,2307,,,,,70.86,54.96
Sun Beichen,2095,,,,,,54.67
Yaël Arn,1914,,,,,,54.39
Øystein Berntzen,N/A,,,,,38.00,54.11
Victor Vatn,2252,,,68.95,40.40,44.00,53.82
Gunadi Gani,2158,,,,,,53.54
Mardon Hazratov,1924,,,,,,53.26
Uroš Kostadinović,2143,,,,,,52.97
Kaleem Raza Syed,1834,,,,,,52.69
José Andrés Lemus Velazquez,1866,,,,,,52.41
Sebastian Meineche Falk,N/A,,,,,,52.12
Mikhail Brel,2267,,,,,62.86,51.84
Patrik Číhal,2044,,,,,,51.56
Tomas Marcinkevičius,N/A,,,,,,51.56
Tsovak Yegoryan,1994,,,,,64.57,50.99
Mihai Esanu,2006,,,,,,50.71
Akib Azmain Turja,1805,,,,,,50.42
Raouf Ould Ali,1792,,,,,,50.14
Hakob Ayvazyan,1924,,,,,,49.86
David Hromádka,1856,,,,,,49.58
Aleks Grigoryan,1966,,,,,,49.29
Yan Xun Khor,N/A,,,,,,49.01
Santiago de la Torre Zamudio,2117,,,,,,48.73
Zsombor Bata,2124,,,,,,48.44
Fuad Garayev,2103,,,,31.81,50.29,48.16
Benjamin Mujkić,2102,,,48.43,46.42,44.57,47.88
Muhammad Saram,2090,,,,,,47.88
Tsz Chai Berton Choy,2110,,,,,,47.31
Ziyan Wang,N/A,,,,,,47.03
Hadi Suleiman,2106,,,,,,46.74
Anango Prabhat,2322,,,,,,46.46
Irakli Sulamanidze,2013,,,,,59.14,46.18
Yuan Li,1648,,,,,27.43,45.89
Abdulaziz Lebiev,1757,,,,,,45.61
Khusanboy Mansuraliev,1984,,,,14.90,,45.33
Logan Guerrero Díaz,2073,,,,,,45.04
Otar Tsibadze,1865,,,,,,44.76
Malitha Bandara,N/A,,,,,,44.48
Patrik Prítrský,1612,,,,,,44.19
Abdullah Abdullah,1951,,,,,,43.91
Marian Soltan,1921,,,,15.76,,43.63
Zein Alabdeen Zammar,2150,,,,,42.00,43.34
Alin Popescu,2167,,,,,,43.06
Tamás Görömbey,2317,,,,,,42.78
Emmanuel Buenrostro Briseño,1835,,,,,,42.49
Blagoj Rujanoski Stojanovski,1650,,,,,33.71,42.21
Sunnatov Asilbek,2127,,,,,41.43,41.93
Youkyum Kim,N/A,,,,,20.29,41.64
Daniel Nieto Pérez,2108,,,,,,41.36
