Nombre,Handle de Codeforces,Rating de Codeforces,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024,Pais
Kangyang Zhou,orzdevinwang,3529,,,,,,100.00,China
Adam Gąsienica-Samek,adam_gs,2876,,,,,85.71,99.72,Poland
Brian Xue,hyforces,2503,,,,,,99.43,United States
Daniel Weber,CommandMaster,2276,,,,92.55,93.43,99.15,Israel
Agastya Goel,gustergoose27,2448,,,,,98.29,99.15,United States
Rain Jiang,rainboy,2232,,,98.86,89.97,98.86,98.87,United States
Mihai-Valeriu Voicu,valeriu,2431,,,,,,98.58,Romania
Bálint Rózsa,BalintR,2748,,,,,90.29,98.30,Canada
Yuchong Guo,Kubic,3004,,,,,,98.02,China
Eliška Macáková,prvocislo,2401,,,54.42,91.40,90.00,97.73,Slovakia
Daria Grekova,arbuzick,2609,,,,,,97.45,Russia
Ivan Piskarev,qwerty1232,2529,,,,,97.43,97.17,Russia
Ryan Bai,skittles1412,2652,,,,85.67,97.14,96.88,Canada
Shogo Amacho,PCTprobability,2912,,,,,97.71,96.60,Japan
István Ádám Molnár,Error-42,2373,,,,75.64,69.71,96.32,Hungary
Katsuki Ota,shiomusubi496,2909,,,,,,96.03,Japan
Alejandro Vivero Puga,esomer,2204,,,,,75.14,95.75,Spain
Amirali Asgari,AmirAli-Asgari,2670,,,,,,95.47,Iran
Elazar Koren,elazarkoren,2417,,,,73.93,92.29,95.47,Israel
Samuel Trajtenberg,sammyuri,2613,,,,,59.71,95.47,United Kingdom
Duru Ozer,Weobe,2029,,,,,,95.18,Turkey
Rafał Mańczyk,rafi22,2632,,,,,74.29,94.90,Poland
Gimran Abdullin,bashkort,2911,,,,,91.71,94.62,Russia
Kshitij Sodani,kshitij_sodani,2736,,59.48,85.47,88.54,96.57,94.33,India
Chun Wong,WongChun1234,2372,,,,66.76,85.71,94.05,Hong Kong
Minh Pham Cong,socpite,2438,,,,,,93.77,Viet Nam
Bach Hoang Xuan,bachbeo2007,2508,,,,,,93.48,Viet Nam
Debojoti Das Soumya,Soumya1,2378,,,,65.33,86.86,93.20,Bangladesh
Miles Conway,N/A,N/A,,,,,78.86,92.92,Russia
Alon Tanay,Alon-Tanay,2582,,,,81.95,94.86,92.63,Israel
Petr Losev,green_gold_dog,2777,,,,,,92.63,Russia
Ansis Gustavs Andersons,N/A,N/A,,,37.32,70.49,89.14,92.35,Latvia
Eunseong Kim,kes0716,2469,,,,,,92.07,South Korea
David S. Eikeland,N/A,N/A,,,,41.55,67.71,91.78,Norway
Yuya Hirasawa,hirayuu_cf,2200,,,,,,91.50,Japan
Kajetan Ramsza,Arapak,2041,,,,,,91.22,Poland
Mingyu Woo,Mingyu331,2464,,,,,,90.93,South Korea
Jan Gwiazda,jamjanek,1568,,,,,,90.65,Poland
Andy Wu,awu,2412,,,,,,90.37,Russia
Daniel Koynov,Sedmoklasnikut,2304,,,,,,90.08,Bulgaria
Po-Kai Chen,becaido,2430,,,,,89.43,90.08,Taiwan
Damjan Davkov,damjandavkov,2406,,,,,58.57,89.52,North Macedonia
Jonni Haapiainen,N/A,N/A,,,,,52.00,89.24,Finland
Rohin Garg,purplecrayon,2717,,,,,96.86,88.95,United States
Heewoo Jung,heeew,2301,,,,,,88.67,South Korea
Hanks Chong,Hanksburger,2220,,,,71.35,71.71,88.39,United Kingdom
Yaw Chur Zhe,pavement,2557,,,,,76.00,88.10,Singapore
Isaac Kai Sheng Hew,N/A,N/A,,,,74.79,18.57,87.82,Malaysia
Boris Mihov,libobil,2391,,,,,74.29,87.54,Bulgaria
Ryotaro Hayashi,Forested,2862,,,,,,87.25,Japan
Oscar Fischler,oscar1f,2309,,,68.66,,87.14,86.97,France
Min-chan Jung,mickeyjung,2570,,,,,,86.69,South Korea
Tuan Nguyen Huu,ahihi1234,2495,,,,,,86.40,Viet Nam
Veikko Heikkinen,N/A,N/A,,,,,77.14,86.12,Finland
Rareș-Andrei Neculau,Andrei_ierdnA,2422,,,,,,85.84,Romania
Antonín Maloň,Tonyl,1928,,,,,41.14,85.55,Czechia
Amirhossein Farkhondeh Far,amirhoseinfar1385,2415,,,,,,85.27,Iran
Denys Tereshchenko,TheQuantiX,1982,,,,,,85.27,Ukraine
Javier Badesa Pérez,Dalek_of_Rivia,2335,,,,,,85.27,Spain
Sushil Raaja Umasudhan,smolbrain,2268,,,,,61.71,84.70,India
Matthew Allan,MetalPower,2183,,,,,76.29,84.42,Indonesia
