Rating de Codeforces,Ranking IOI 2024,Medal
3529.0,100.0,Gold
2876.0,99.72,Gold
2503.0,99.43,Gold
2276.0,99.15,Gold
2448.0,99.15,Gold
2232.0,98.87,Gold
2431.0,98.58,Gold
2748.0,98.3,Gold
3004.0,98.02,Gold
2401.0,97.73,Gold
2609.0,97.45,Gold
2529.0,97.17,Gold
2652.0,96.88,Gold
2912.0,96.6,Gold
2373.0,96.32,Gold
2909.0,96.03,Gold
2204.0,95.75,Gold
2670.0,95.47,Gold
2417.0,95.47,Gold
2613.0,95.47,Gold
2029.0,95.18,Gold
2632.0,94.9,Gold
2911.0,94.62,Gold
2736.0,94.33,Gold
2372.0,94.05,Gold
2438.0,93.77,Gold
2508.0,93.48,Gold
2378.0,93.2,Gold
2494.7627952776456,92.92,Gold
2582.0,92.63,Gold
2777.0,92.63,Gold
2487.212609308025,92.35,Gold
2469.0,92.07,Gold
2479.662423338405,91.78,Gold
2200.0,91.5,Silver
2041.0,91.22,Silver
2464.0,90.93,Silver
1568.0,90.65,Silver
2412.0,90.37,Silver
2304.0,90.08,Silver
2430.0,90.08,Silver
2406.0,89.52,Silver
2446.0177349825526,89.24,Silver
2717.0,88.95,Silver
2301.0,88.67,Silver
2220.0,88.39,Silver
2557.0,88.1,Silver
2427.208499759989,87.82,Silver
2391.0,87.54,Silver
2862.0,87.25,Silver
2309.0,86.97,Silver
2570.0,86.69,Silver
2495.0,86.4,Silver
2404.690401254104,86.12,Silver
2422.0,85.84,Silver
1928.0,85.55,Silver
2415.0,85.27,Silver
1982.0,85.27,Silver
2335.0,85.27,Silver
2268.0,84.7,Silver
2183.0,84.42,Silver
2380.0,84.14,Silver
2281.0,84.14,Silver
2259.0,83.57,Silver
2948.0,83.29,Silver
2482.0,83.0,Silver
2234.0,82.72,Silver
2550.0,82.44,Silver
2435.0,82.15,Silver
2487.0,81.87,Silver
2484.0,81.87,Silver
1780.0,81.59,Silver
2096.0,81.3,Silver
2337.136105736448,81.02,Silver
2106.0,80.74,Silver
2329.585919766828,80.45,Silver
2274.0,80.17,Silver
2351.0,79.89,Silver
2237.0,79.6,Silver
2241.0,79.32,Silver
2376.0,79.04,Silver
1912.0,78.75,Silver
2096.0,78.47,Silver
2299.0,78.19,Silver
2111.0,77.9,Silver
2292.0999087246773,77.62,Silver
2143.0,77.34,Silver
2305.0,77.05,Silver
2119.0,76.77,Silver
1814.0,76.49,Silver
2303.0,76.2,Silver
1869.0,75.92,Silver
2434.0,75.92,Silver
2262.0,75.35,Silver
2340.0,75.07,Silver
2254.613897682527,74.79,Bronze
1964.0,74.5,Bronze
2377.0,74.22,Bronze
2440.0,73.94,Bronze
2131.0,73.94,Bronze
2188.0,73.37,Bronze
2296.0,73.37,Bronze
2130.0,72.8,Bronze
2034.0,72.52,Bronze
2109.0,72.24,Bronze
2189.0,71.95,Bronze
2384.0,71.67,Bronze
2209.577700670756,71.39,Bronze
